row_index,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,TotalIncome,LoanAmount_log,naive_bayes_pred,decision_tree_pred,logistic_pred,random_forest_pred,Actual_bin
101,1,0,0,1,0,4843,3806.0,151.0,360.0,1.0,1,1,8649.0,5.017279836814924,1,1,1,1,1
102,1,1,0,1,0,13650,0.0,128.0,360.0,1.0,2,1,13650.0,4.852030263919617,1,1,1,1,1
103,1,1,0,1,0,4652,3583.0,128.0,360.0,1.0,1,1,8235.0,4.852030263919617,1,1,1,1,1
104,1,1,0,1,0,3816,754.0,160.0,360.0,1.0,2,1,4570.0,5.075173815233827,1,1,1,1,1
105,1,1,1,1,0,3052,1030.0,100.0,360.0,1.0,2,1,4082.0,4.605170185988092,1,1,1,1,1
106,1,1,2,1,0,11417,1126.0,225.0,360.0,1.0,2,1,12543.0,5.41610040220442,1,1,1,1,1
107,1,0,0,0,0,7333,0.0,120.0,360.0,1.0,0,0,7333.0,4.787491742782046,1,1,1,0,0
108,1,1,2,1,0,3800,3600.0,216.0,360.0,0.0,2,0,7400.0,5.375278407684165,0,0,0,0,0
109,1,1,3+,0,0,2071,754.0,94.0,480.0,1.0,1,1,2825.0,4.543294782270004,1,1,1,1,1
110,1,0,0,1,0,5316,0.0,136.0,360.0,1.0,2,1,5316.0,4.912654885736052,1,1,1,1,1
111,0,1,0,1,0,2929,2333.0,139.0,360.0,1.0,1,1,5262.0,4.934473933130692,1,1,1,1,1
112,1,1,0,0,0,3572,4114.0,152.0,360.0,0.0,0,0,7686.0,5.0238805208462765,0,0,0,0,0
113,0,0,1,1,1,7451,0.0,128.0,360.0,1.0,1,1,7451.0,4.852030263919617,1,1,1,1,1
114,1,0,0,1,0,5050,0.0,118.0,360.0,1.0,1,1,5050.0,4.770684624465665,1,1,1,1,1
115,1,1,1,1,0,14583,0.0,185.0,180.0,1.0,0,1,14583.0,5.220355825078324,1,1,1,1,1
116,0,1,0,1,0,3167,2283.0,154.0,360.0,1.0,1,1,5450.0,5.0369526024136295,1,1,1,1,1
117,1,1,1,1,0,2214,1398.0,85.0,360.0,1.0,2,1,3612.0,4.442651256490317,1,1,1,1,1
118,1,1,0,1,0,5568,2142.0,175.0,360.0,1.0,0,0,7710.0,5.1647859739235145,1,1,1,0,0
119,0,0,0,1,0,10408,0.0,259.0,360.0,1.0,2,1,10408.0,5.556828061699537,1,1,1,1,1
120,1,1,0,1,0,5667,2667.0,180.0,360.0,1.0,0,1,8334.0,5.19295685089021,1,1,1,0,1
121,0,0,0,1,0,4166,0.0,44.0,360.0,1.0,1,1,4166.0,3.784189633918261,1,1,1,1,1
122,0,0,0,1,0,2137,8980.0,137.0,360.0,0.0,1,1,11117.0,4.919980925828125,0,0,0,1,1
123,1,1,2,1,0,2957,0.0,81.0,360.0,1.0,1,1,2957.0,4.394449154672439,1,1,1,1,1
124,1,1,0,0,0,4300,2014.0,194.0,360.0,1.0,0,1,6314.0,5.267858159063328,1,1,1,1,1
125,0,0,0,1,0,3692,0.0,93.0,360.0,1.0,0,1,3692.0,4.532599493153256,1,1,1,1,1
126,1,1,3+,1,0,23803,0.0,370.0,360.0,1.0,0,1,23803.0,5.91350300563827,0,1,1,1,1
127,1,0,0,1,0,3865,1640.0,128.0,360.0,1.0,0,1,5505.0,4.852030263919617,1,1,1,1,1
128,1,1,1,1,1,10513,3850.0,160.0,180.0,0.0,2,0,14363.0,5.075173815233827,0,0,0,0,0
129,1,1,0,1,0,6080,2569.0,182.0,360.0,1.0,0,0,8649.0,5.204006687076795,1,1,1,0,0
130,1,0,0,1,1,20166,0.0,650.0,480.0,1.0,2,1,20166.0,6.476972362889683,0,1,1,1,1
131,1,0,0,1,0,2014,1929.0,74.0,360.0,1.0,2,1,3943.0,4.30406509320417,1,1,1,1,1
132,1,0,0,1,0,2718,0.0,70.0,360.0,1.0,1,1,2718.0,4.248495242049359,1,1,1,1,1
133,1,1,0,1,1,3459,0.0,25.0,120.0,1.0,1,1,3459.0,3.218875824868201,1,1,1,1,1
134,1,0,0,1,0,4895,0.0,102.0,360.0,1.0,1,1,4895.0,4.624972813284271,1,1,1,1,1
135,1,1,3+,1,0,4000,7750.0,290.0,360.0,1.0,1,0,11750.0,5.66988092298052,0,1,1,0,0
136,0,1,0,1,0,4583,0.0,84.0,360.0,1.0,0,0,4583.0,4.430816798843313,1,1,1,0,0
137,1,1,2,1,1,3316,3500.0,88.0,360.0,1.0,2,1,6816.0,4.477336814478207,1,1,1,1,1
138,1,0,0,1,0,14999,0.0,242.0,360.0,0.0,1,0,14999.0,5.488937726156687,0,0,0,0,0
139,1,1,2,0,0,4200,1430.0,129.0,360.0,1.0,0,0,5630.0,4.859812404361672,1,1,1,0,0
140,1,1,2,1,0,5042,2083.0,185.0,360.0,1.0,0,0,7125.0,5.220355825078324,1,1,1,0,0
141,1,0,0,1,0,5417,0.0,168.0,360.0,1.0,2,1,5417.0,5.123963979403259,1,1,1,1,1
142,1,0,0,1,1,6950,0.0,175.0,180.0,1.0,1,1,6950.0,5.1647859739235145,1,1,1,1,1
143,1,1,0,1,0,2698,2034.0,122.0,360.0,1.0,1,1,4732.0,4.804021044733257,1,1,1,1,1
144,1,1,2,1,0,11757,0.0,187.0,180.0,1.0,2,1,11757.0,5.231108616854587,1,1,1,1,1
145,0,1,0,1,0,2330,4486.0,100.0,360.0,1.0,1,1,6816.0,4.605170185988092,1,0,1,1,1
146,0,1,2,1,0,14866,0.0,70.0,360.0,1.0,2,1,14866.0,4.248495242049359,1,1,1,1,1
147,1,1,1,1,0,1538,1425.0,30.0,360.0,1.0,2,1,2963.0,3.4011973816621555,1,1,1,1,1
148,0,0,0,1,0,10000,1666.0,225.0,360.0,1.0,0,0,11666.0,5.41610040220442,1,1,1,0,0
149,1,1,0,1,0,4860,830.0,125.0,360.0,1.0,1,1,5690.0,4.8283137373023015,1,1,1,1,1
150,1,0,0,1,0,6277,0.0,118.0,360.0,0.0,0,0,6277.0,4.770684624465665,0,0,0,0,0
151,1,1,0,1,1,2577,3750.0,152.0,360.0,1.0,0,1,6327.0,5.0238805208462765,1,1,1,1,1
152,1,0,0,1,0,9166,0.0,244.0,360.0,1.0,2,0,9166.0,5.497168225293202,1,1,1,0,0
153,1,1,2,0,0,2281,0.0,113.0,360.0,1.0,0,0,2281.0,4.727387818712341,1,0,1,1,0
154,1,0,0,1,0,3254,0.0,50.0,360.0,1.0,2,1,3254.0,3.912023005428146,1,1,1,1,1
155,1,1,3+,1,0,39999,0.0,600.0,180.0,0.0,1,1,39999.0,6.396929655216146,0,1,0,1,1
156,1,1,1,1,0,6000,0.0,160.0,360.0,1.0,0,1,6000.0,5.075173815233827,1,1,1,1,1
157,1,1,1,1,0,9538,0.0,187.0,360.0,1.0,2,1,9538.0,5.231108616854587,1,1,1,1,1
158,1,0,0,1,0,2980,2083.0,120.0,360.0,1.0,0,1,5063.0,4.787491742782046,1,1,1,1,1
159,1,1,0,1,0,4583,5625.0,255.0,360.0,1.0,1,1,10208.0,5.541263545158426,1,1,1,1,1
160,1,1,0,0,0,1863,1041.0,98.0,360.0,1.0,1,1,2904.0,4.584967478670572,1,1,1,1,1
161,1,1,0,1,0,7933,0.0,275.0,360.0,1.0,2,0,7933.0,5.616771097666572,1,1,1,0,0
162,1,1,1,1,0,3089,1280.0,121.0,360.0,0.0,1,0,4369.0,4.795790545596741,0,0,0,0,0
163,1,1,2,1,0,4167,1447.0,158.0,360.0,1.0,0,1,5614.0,5.062595033026967,1,1,1,1,1
164,1,1,0,1,0,9323,0.0,75.0,180.0,1.0,2,1,9323.0,4.31748811353631,1,1,1,1,1
165,1,1,0,1,0,3707,3166.0,182.0,360.0,1.0,0,1,6873.0,5.204006687076795,1,1,1,1,1
166,0,1,0,1,0,4583,0.0,112.0,360.0,1.0,0,0,4583.0,4.718498871295094,1,1,1,0,0
167,1,1,0,1,0,2439,3333.0,129.0,360.0,1.0,0,1,5772.0,4.859812404361672,1,1,1,1,1
168,1,0,0,1,0,2237,0.0,63.0,480.0,0.0,1,0,2237.0,4.143134726391533,0,0,0,0,0
169,1,1,2,1,0,8000,0.0,200.0,360.0,1.0,1,1,8000.0,5.298317366548036,1,1,1,1,1
170,1,1,0,0,0,1820,1769.0,95.0,360.0,1.0,0,1,3589.0,4.553876891600541,1,1,1,1,1
171,1,1,3+,1,0,51763,0.0,700.0,300.0,1.0,2,1,51763.0,6.551080335043404,0,1,1,1,1
172,1,1,3+,0,0,3522,0.0,81.0,180.0,1.0,0,0,3522.0,4.394449154672439,1,0,1,0,0
173,1,1,0,1,0,5708,5625.0,187.0,360.0,1.0,1,1,11333.0,5.231108616854587,1,1,1,1,1
174,1,1,0,0,1,4344,736.0,87.0,360.0,1.0,1,0,5080.0,4.465908118654584,1,1,1,0,0
175,1,1,0,1,0,3497,1964.0,116.0,360.0,1.0,0,1,5461.0,4.7535901911063645,1,1,1,1,1
176,1,1,2,1,0,2045,1619.0,101.0,360.0,1.0,0,1,3664.0,4.61512051684126,1,1,1,1,1
177,1,1,3+,1,0,5516,11300.0,495.0,360.0,0.0,1,0,16816.0,6.20455776256869,0,0,0,1,0
178,1,1,1,1,0,3750,0.0,116.0,360.0,1.0,1,1,3750.0,4.7535901911063645,1,1,1,1,1
179,1,0,0,0,0,2333,1451.0,102.0,480.0,0.0,2,0,3784.0,4.624972813284271,0,0,0,0,0
180,1,1,1,1,0,6400,7250.0,180.0,360.0,0.0,2,0,13650.0,5.19295685089021,0,0,0,0,0
181,1,0,0,1,0,1916,5063.0,67.0,360.0,1.0,0,0,6979.0,4.204692619390966,1,0,1,0,0
182,1,1,0,1,0,4600,0.0,73.0,180.0,1.0,1,1,4600.0,4.290459441148391,1,1,1,1,1
183,1,1,1,1,0,33846,0.0,260.0,360.0,1.0,1,0,33846.0,5.560681631015528,0,1,1,0,0
184,0,1,0,1,0,3625,0.0,108.0,360.0,1.0,1,1,3625.0,4.68213122712422,1,1,1,1,1
185,1,1,0,1,1,39147,4750.0,120.0,360.0,1.0,1,1,43897.0,4.787491742782046,0,1,1,1,1
186,1,1,1,1,1,2178,0.0,66.0,300.0,0.0,0,0,2178.0,4.189654742026425,0,0,0,0,0
187,1,1,0,1,0,2383,2138.0,58.0,360.0,1.0,0,1,4521.0,4.060443010546419,1,1,1,1,1
188,1,1,0,1,1,674,5296.0,168.0,360.0,1.0,0,1,5970.0,5.123963979403259,1,1,1,1,1
189,1,1,0,1,0,9328,0.0,188.0,180.0,1.0,0,1,9328.0,5.236441962829949,1,1,1,1,1
190,1,0,0,0,0,4885,0.0,48.0,360.0,1.0,0,1,4885.0,3.871201010907891,1,1,1,0,1
191,1,0,0,1,0,12000,0.0,164.0,360.0,1.0,1,0,12000.0,5.099866427824199,1,1,1,1,0
192,1,1,0,0,0,6033,0.0,160.0,360.0,1.0,2,0,6033.0,5.075173815233827,1,1,1,0,0
193,1,0,0,1,0,3858,0.0,76.0,360.0,1.0,1,1,3858.0,4.330733340286331,1,1,1,1,1
194,1,0,0,1,0,4191,0.0,120.0,360.0,1.0,0,1,4191.0,4.787491742782046,1,1,1,1,1
195,1,1,1,1,0,3125,2583.0,170.0,360.0,1.0,1,0,5708.0,5.135798437050262,1,0,1,0,0
196,1,0,0,1,0,8333,3750.0,187.0,360.0,1.0,0,1,12083.0,5.231108616854587,1,1,1,0,1
197,0,0,0,0,0,1907,2365.0,120.0,360.0,1.0,2,1,4272.0,4.787491742782046,1,1,1,1,1
198,0,1,0,1,0,3416,2816.0,113.0,360.0,1.0,1,1,6232.0,4.727387818712341,1,1,1,1,1
199,1,0,0,1,1,11000,0.0,83.0,360.0,1.0,2,0,11000.0,4.418840607796598,1,1,1,0,0
200,1,1,1,0,0,2600,2500.0,90.0,360.0,1.0,1,1,5100.0,4.499809670330265,1,1,1,1,1
201,1,0,2,1,0,4923,0.0,166.0,360.0,0.0,1,1,4923.0,5.111987788356544,0,1,0,1,1
202,1,1,3+,0,0,3992,0.0,128.0,180.0,1.0,2,0,3992.0,4.852030263919617,1,1,1,0,0
203,1,1,1,0,0,3500,1083.0,135.0,360.0,1.0,2,1,4583.0,4.90527477843843,1,1,1,1,1
204,1,1,2,0,0,3917,0.0,124.0,360.0,1.0,1,1,3917.0,4.820281565605037,1,1,1,1,1
205,0,0,0,0,0,4408,0.0,120.0,360.0,1.0,1,1,4408.0,4.787491742782046,1,1,1,1,1
206,0,0,0,1,0,3244,0.0,80.0,360.0,1.0,2,1,3244.0,4.382026634673881,1,1,1,1,1
207,1,0,0,0,0,3975,2531.0,55.0,360.0,1.0,0,1,6506.0,4.007333185232471,1,1,1,1,1
208,1,0,0,1,0,2479,0.0,59.0,360.0,1.0,2,1,2479.0,4.07753744390572,1,1,1,1,1
209,1,0,0,1,0,3418,0.0,127.0,360.0,1.0,1,0,3418.0,4.844187086458591,1,0,1,0,0
210,0,0,0,1,0,10000,0.0,214.0,360.0,1.0,1,0,10000.0,5.365976015021851,1,1,1,0,0
211,1,1,3+,1,0,3430,1250.0,128.0,360.0,0.0,1,0,4680.0,4.852030263919617,0,0,0,0,0
212,1,1,1,1,1,7787,0.0,240.0,360.0,1.0,2,1,7787.0,5.480638923341991,1,1,1,1,1
213,1,1,3+,0,1,5703,0.0,130.0,360.0,1.0,0,1,5703.0,4.867534450455582,1,1,1,1,1
214,1,1,0,1,0,3173,3021.0,137.0,360.0,1.0,2,1,6194.0,4.919980925828125,1,1,1,1,1
215,1,1,3+,0,0,3850,983.0,100.0,360.0,1.0,1,1,4833.0,4.605170185988092,1,1,1,1,1
216,1,1,0,1,0,150,1800.0,135.0,360.0,1.0,0,0,1950.0,4.90527477843843,1,0,1,0,0
217,1,1,0,1,0,3727,1775.0,131.0,360.0,1.0,1,1,5502.0,4.875197323201151,1,1,1,1,1
218,1,1,2,1,0,5000,0.0,72.0,360.0,0.0,1,0,5000.0,4.276666119016055,0,0,0,0,0
219,0,1,2,1,0,4283,2383.0,127.0,360.0,1.0,1,1,6666.0,4.844187086458591,1,1,1,1,1
220,1,1,0,1,0,2221,0.0,60.0,360.0,0.0,2,0,2221.0,4.0943445622221,0,0,0,0,0
221,1,1,2,1,0,4009,1717.0,116.0,360.0,1.0,1,1,5726.0,4.7535901911063645,1,1,1,1,1
222,1,0,0,1,0,2971,2791.0,144.0,360.0,1.0,1,1,5762.0,4.969813299576001,1,1,1,1,1
223,1,1,0,1,0,7578,1010.0,175.0,360.0,1.0,1,1,8588.0,5.1647859739235145,1,1,1,1,1
224,1,1,0,1,0,6250,0.0,128.0,360.0,1.0,1,1,6250.0,4.852030263919617,1,1,1,1,1
225,1,1,0,1,0,3250,0.0,170.0,360.0,1.0,0,0,3250.0,5.135798437050262,1,0,1,1,0
226,1,1,0,0,1,4735,0.0,138.0,360.0,1.0,2,0,4735.0,4.927253685157205,1,1,1,0,0
227,1,1,2,1,0,6250,1695.0,210.0,360.0,1.0,1,1,7945.0,5.3471075307174685,1,1,1,1,1
228,1,1,0,1,0,4758,0.0,158.0,480.0,1.0,1,1,4758.0,5.062595033026967,1,1,1,1,1
229,1,0,0,1,1,6400,0.0,200.0,360.0,1.0,0,1,6400.0,5.298317366548036,1,1,1,1,1
230,1,1,1,1,0,2491,2054.0,104.0,360.0,1.0,1,1,4545.0,4.6443908991413725,1,1,1,1,1
231,1,1,0,1,0,3716,0.0,42.0,180.0,1.0,0,1,3716.0,3.737669618283368,1,1,1,1,1
232,1,0,0,0,0,3189,2598.0,120.0,360.0,1.0,0,1,5787.0,4.787491742782046,1,1,1,1,1
